Coorte,Nascidos vivos,Óbitos < 1 ano,1q0 (‰),1p0,Dados 2024 prelim
2000,14238,318,22.3,0.9776654024441636,FALSE
2001,14609,343,23.5,0.9765213224724485,FALSE
2002,14196,328,23.1,0.976894899971823,FALSE
2003,14764,305,20.7,0.979341641831482,FALSE
2004,13971,311,22.3,0.977739603464319,FALSE
2005,14205,284,20,0.9800070397747273,FALSE
2006,14714,319,21.7,0.9783199673780073,FALSE
2007,14425,322,22.3,0.9776776429809358,FALSE
2008,15105,339,22.4,0.9775571002979146,FALSE
2009,14298,312,21.8,0.9781787662610155,FALSE
2010,15008,289,19.3,0.9807436034115139,FALSE
2011,15114,288,19.1,0.980944819372767,FALSE
2012,14895,311,20.9,0.979120510238335,FALSE
2013,15710,308,19.6,0.9803946530872056,FALSE
2014,16271,296,18.2,0.9818081248847643,FALSE
2015,15750,255,16.2,0.9838095238095238,FALSE
2016,15521,295,19,0.9809934926873268,FALSE
2017,15399,294,19.1,0.9809078511591662,FALSE
2018,15864,314,19.8,0.9802067574382249,FALSE
2019,15356,269,17.5,0.9824824172961709,FALSE
2020,14633,272,18.6,0.981411877263719,FALSE
2021,14993,289,19.3,0.9807243380244114,FALSE
2022,13615,255,18.7,0.9812706573632024,FALSE
2023,12948,262,20.2,0.9797652147049738,TRUE
