Grupo etário,nMx_2010,nMx_2019,nMx_2021,nMx_2022,nMx_2024
<1,18.2695,15.9773,16.7575,16.3074,16.8239
1-4,0.6847,0.918,0.7716,0.7471,0.7281
5-9,0.2521,0.3562,0.1641,0.1091,0.2197
10-14,0.3269,0.3883,0.3387,0.2564,0.4593
15-19,0.5665,0.4918,0.4047,0.5812,0.5723
20-24,0.7844,0.7383,0.7123,0.8789,0.661
25-29,0.6447,0.6999,1.5122,1.1604,0.6433
30-34,0.7084,0.8031,1.3373,1.0568,0.7978
35-39,0.9561,1.2197,2.488,1.5451,1.1297
40-44,1.5307,2.0111,2.5918,2.2474,2.1687
45-49,1.9789,2.4407,3.5277,2.8903,2.6557
50-54,3.5218,4.2468,5.4749,4.1345,3.4798
55-59,4.8142,6.1971,9.3289,6.0942,6.3375
60-64,8.3899,9.0724,16.375,9.1884,9.1448
65-69,14.0515,14.5709,20.2703,15.1441,15.0914
70-74,24.6795,23.8674,27.3508,21.9306,19.739
75-79,24,33.49,40.4208,32.9018,30.2648
80+,64.3777,96.875,101.6782,102.5641,92.6091
