ano_obito,grupo_idade_causa,grupo_causa_top20,obitos,total,pct
2010,15-39,I. Infecciosas e parasitárias,32,551,5.807622504537205
2010,15-39,II. Neoplasias,28,551,5.081669691470054
2010,15-39,III. Sangue e imunitárias,7,551,1.2704174228675136
2010,15-39,"IV. Endócrinas, nutricionais e metabólicas",9,551,1.6333938294010888
2010,15-39,IX. Aparelho circulatório,23,551,4.174228675136116
2010,15-39,V. Transtornos mentais e comportamentais,2,551,0.3629764065335753
2010,15-39,VI. Sistema nervoso,8,551,1.4519056261343013
2010,15-39,X. Aparelho respiratório,21,551,3.8112522686025407
2010,15-39,XI. Aparelho digestivo,13,551,2.35934664246824
2010,15-39,XII. Pele e tecido subcutâneo,2,551,0.3629764065335753
2010,15-39,XIII. Osteomuscular e conjuntivo,3,551,0.5444646098003629
2010,15-39,XIV. Aparelho geniturinário,3,551,0.5444646098003629
2010,15-39,"XV. Gravidez, parto e puerpério",2,551,0.3629764065335753
2010,15-39,XVII. Malformações congênitas,2,551,0.3629764065335753
2010,15-39,XVIII. Sintomas e achados anormais,46,551,8.348457350272232
2010,15-39,XX. Causas externas,350,551,63.52087114337568
2010,40-59,I. Infecciosas e parasitárias,36,433,8.314087759815243
2010,40-59,II. Neoplasias,66,433,15.242494226327944
2010,40-59,III. Sangue e imunitárias,2,433,0.4618937644341801
2010,40-59,"IV. Endócrinas, nutricionais e metabólicas",17,433,3.9260969976905313
2010,40-59,IX. Aparelho circulatório,87,433,20.092378752886837
2010,40-59,V. Transtornos mentais e comportamentais,2,433,0.4618937644341801
2010,40-59,VI. Sistema nervoso,3,433,0.6928406466512702
2010,40-59,X. Aparelho respiratório,26,433,6.0046189376443415
2010,40-59,XI. Aparelho digestivo,21,433,4.849884526558892
2010,40-59,XIII. Osteomuscular e conjuntivo,2,433,0.4618937644341801
2010,40-59,XIV. Aparelho geniturinário,8,433,1.8475750577367205
2010,40-59,XVIII. Sintomas e achados anormais,65,433,15.011547344110854
2010,40-59,XX. Causas externas,98,433,22.632794457274827
2010,5-14,I. Infecciosas e parasitárias,1,65,1.5384615384615385
2010,5-14,II. Neoplasias,6,65,9.230769230769232
2010,5-14,IX. Aparelho circulatório,4,65,6.153846153846154
2010,5-14,VI. Sistema nervoso,6,65,9.230769230769232
2010,5-14,X. Aparelho respiratório,8,65,12.307692307692308
2010,5-14,XI. Aparelho digestivo,1,65,1.5384615384615385
2010,5-14,XIII. Osteomuscular e conjuntivo,1,65,1.5384615384615385
2010,5-14,XIV. Aparelho geniturinário,1,65,1.5384615384615385
2010,5-14,"XV. Gravidez, parto e puerpério",1,65,1.5384615384615385
2010,5-14,XVII. Malformações congênitas,2,65,3.076923076923077
2010,5-14,XVIII. Sintomas e achados anormais,5,65,7.6923076923076925
2010,5-14,XX. Causas externas,29,65,44.61538461538462
2010,60+,COVID-19 (B34.2/U07),1,883,0.11325028312570783
2010,60+,I. Infecciosas e parasitárias,40,883,4.530011325028313
2010,60+,II. Neoplasias,132,883,14.949037372593432
2010,60+,III. Sangue e imunitárias,4,883,0.4530011325028313
2010,60+,"IV. Endócrinas, nutricionais e metabólicas",64,883,7.248018120045301
2010,60+,IX. Aparelho circulatório,246,883,27.859569648924122
2010,60+,V. Transtornos mentais e comportamentais,2,883,0.22650056625141565
2010,60+,VI. Sistema nervoso,5,883,0.5662514156285391
2010,60+,X. Aparelho respiratório,140,883,15.855039637599095
2010,60+,XI. Aparelho digestivo,45,883,5.096262740656852
2010,60+,XII. Pele e tecido subcutâneo,3,883,0.33975084937712347
2010,60+,XIV. Aparelho geniturinário,11,883,1.245753114382786
2010,60+,XVIII. Sintomas e achados anormais,164,883,18.57304643261608
2010,60+,XX. Causas externas,26,883,2.944507361268403
2010,<5,I. Infecciosas e parasitárias,16,344,4.651162790697675
2010,<5,II. Neoplasias,3,344,0.872093023255814
2010,<5,"IV. Endócrinas, nutricionais e metabólicas",6,344,1.744186046511628
2010,<5,IX. Aparelho circulatório,7,344,2.0348837209302326
2010,<5,VI. Sistema nervoso,8,344,2.3255813953488373
