ano,sexo,grupo_mx,x,n,n_obitos,pop,nMx,mx,ax,nqx,lx,ndx,nLx,Tx,ex
2010,Masculino,<1,0,1,155,8268,18.746976294146105,0.018746976294146105,0.08974280148864504,0.020381328073635765,100000,2038.1328073635764,98144.77494057515,7519693.896557783,75.19693896557783
2010,Masculino,1-4,1,4,24,32303,0.7429650496857877,7.429650496857877e-4,1.8333333333333333,0.00296708391284191,97961.86719263642,290.6610802192272,391217.7030967373,7421549.121617207,75.75957190590452
2010,Masculino,5-9,5,5,22,41484,0.5303249445569377,5.303249445569376e-4,2.5,0.002648113820746768,97671.20611241719,258.64447079529816,487709.4193850977,7030331.41852047,71.97957001195141
2010,Masculino,10-14,10,5,20,40459,0.4943275908944858,4.943275908944858e-4,2.5,0.002468587227529685,97412.56164162188,240.47140546945593,486461.62969443575,6542621.999135373,67.16404834117286
2010,Masculino,15-19,15,5,94,36722,2.559773432819563,0.002559773432819563,2.5,0.012717482479638498,97172.09023615243,1235.7843550881198,482770.99029304186,6056160.369440937,62.32407221788639
2010,Masculino,20-24,20,5,108,33621,3.212278040510395,0.0032122780405103952,2.5,0.01593343365495264,95936.30588106431,1528.5947648571812,475860.0424931786,5573389.379147895,58.09468405065988
2010,Masculino,25-29,25,5,96,31086,3.0882069098629605,0.0030882069098629606,2.5,0.015322735108216815,94407.71111620714,1446.584349606698,468422.0947070189,5097529.336654716,53.99484084917736
2010,Masculino,30-34,30,5,77,27204,2.830466107925305,0.002830466107925305,2.5,0.014052889967696604,92961.12676660044,1306.3724857241316,461539.70261869184,4629107.2419476975,49.79616107246741
2010,Masculino,35-39,35,5,65,22605,2.8754700287547004,0.0028754700287547,2.5,0.014274733721313274,91654.75428087631,1308.3472116519072,455002.9033752518,4167567.539329006,45.47028216951497
2010,Masculino,40-44,40,5,69,18432,3.7434895833333335,0.0037434895833333335,2.5,0.01854390066919294,90346.4070692244,1675.374798510168,447543.59834984655,3712564.635953754,41.092554274008336
2010,Masculino,45-49,45,5,77,14666,5.250238647211237,0.005250238647211237,2.5,0.025911094659622436,88671.03227071423,2297.563510732912,437611.2525767389,3265021.0376039073,36.821732577057865
2010,Masculino,50-54,50,5,79,11526,6.85406906125282,0.00685406906125282,2.5,0.03369300976670789,86373.46875998132,2910.182126514489,424591.88848362037,2827409.7850271687,32.73470228322205
2010,Masculino,55-59,55,5,74,8591,8.613665463857524,0.008613665463857525,2.5,0.042160437556973566,83463.28663346684,3518.848684410065,408519.311456309,2402817.896543548,28.788920176312274
2010,Masculino,60-64,60,5,56,5846,9.579199452617175,0.009579199452617175,2.5,0.046775810223855664,79944.43794905677,3739.465857957884,390373.5251003891,1994298.5850872393,24.946057990401684
2010,Masculino,65-69,65,5,90,4313,20.86714583816369,0.02086714583816369,2.5,0.09916262670780078,76204.97209109888,7556.685200748016,362133.1474536244,1603925.05998685,21.047511940158515
2010,Masculino,70-74,70,5,98,3020,32.45033112582781,0.032450331125827805,2.5,0.1500765696784073,68648.28689035086,10302.499410803035,317485.18592474674,1241791.9125332257,18.089190113610407
2010,Masculino,75-79,75,5,81,1945,41.6452442159383,0.0416452442159383,2.5,0.1885913853317811,58345.78747954783,11003.512889041614,264220.1551751351,924306.7266084789,15.841875935473142
2010,Masculino,80+,80,NA,140,1952,71.72131147540983,0.07172131147540983,NA,1,47342.27459050621,47342.27459050621,660086.5714333438,660086.5714333438,13.942857142857145
2010,Feminino,<1,0,1,144,7882,18.269474752600864,0.018269474752600864,0.09982275532148623,0.019451573686343374,100000,1945.1573686343374,98249.01359943663,8313605.114014431,83.1360511401443
2010,Feminino,1-4,1,4,21,30669,0.6847305096351365,6.847305096351365e-4,1.5952380952380953,0.0027344195055258066,98054.84263136567,268.1230743024697,391574.59837059246,8215356.100414995,83.78327760211077
2010,Feminino,5-9,5,5,10,39666,0.25210507739625876,2.5210507739625875e-4,2.5,0.0012597314252601344,97786.7195570632,123.18500359913229,488625.6352763182,7823781.502044402,80.00863038951678
2010,Feminino,10-14,10,5,13,39764,0.32692888039432655,3.2692888039432654e-4,2.5,0.0016333094618873523,97663.53455346407,159.51477506753523,487918.88582965144,7335155.8667680845,75.10639360233877
2010,Feminino,15-19,15,5,21,37069,0.5665111009199061,5.665111009199061e-4,2.5,0.002828549492881484,97504.01977839653,275.7949456980897,486830.6115277374,6847236.980938433,70.22517632094119
2010,Feminino,20-24,20,5,27,34422,0.7843820812271222,7.843820812271222e-4,2.5,0.003914234767103032,97228.22483269844,380.5740979838586,485189.68891853257,6360406.3694106955,65.41728371936348
2010,Feminino,25-29,25,5,21,32575,0.6446661550268611,6.44666155026861e-4,2.5,0.0032181442035093097,96847.65073471458,311.66970583541587,483459.07940898434,5875216.680492163,60.66452449719794
2010,Feminino,30-34,30,5,20,28233,0.7083908900931534,7.083908900931534e-4,2.5,0.003535692819007885,96535.98102887916,341.3215748996895,481826.6012071466,5391757.601083178,55.852310647469466
2010,Feminino,35-39,35,5,22,23010,0.9561060408518036,9.561060408518036e-4,2.5,0.004769130717537394,96194.65945397948,458.7649052650224,479826.3850067348,4909930.999876032,51.04161735948547
2010,Feminino,40-44,40,5,28,18292,1.5307238136890444,0.0015307238136890444,2.5,0.007624441781940965,95735.89454871445,729.9327544287128,476854.6408575005,4430104.614869297,46.27422802860084
2010,Feminino,45-49,45,5,28,14149,1.9789384408792141,0.001978938440879214,2.5,0.009845980730009144,95005.96179428574,935.4268690625224,472691.2417987724,3953249.9740117965,41.61054632099488
2010,Feminino,50-54,50,5,39,11074,3.521762687375835,0.0035217626873758354,2.5,0.017455131361052676,94070.53492522323,1642.013544324265,466247.64076530543,3480558.732213024,36.99945721558535
2010,Feminino,55-59,55,5,39,8101,4.8142204666090604,0.0048142204666090605,2.5,0.023784838690004268,92428.52138089896,2198.3974714002925,456646.61322599405,3014311.0914477184,32.61234785987443
2010,Feminino,60-64,60,5,47,5602,8.389860764012852,0.008389860764012852,2.5,0.041087507649270036,90230.12390949867,3707.3309063261095,441882.29228167806,2557664.4782217243,28.346015359427817
2010,Feminino,65-69,65,5,60,4270,14.05152224824356,0.01405152224824356,2.5,0.06787330316742081,86522.79300317256,5872.587760396327,417932.49561487196,2115782.1859400463,24.453466104156696
2010,Feminino,70-74,70,5,77,3120,24.67948717948718,0.02467948717948718,2.5,0.11622641509433963,80650.20524277622,9373.684231990595,379816.8156339046,1697849.6903251745,21.052019461255487
2010,Feminino,75-79,75,5,54,2250,24,0.024,2.5,0.11320754716981131,71276.52101078563,8069.040114428561,336210.0047678567,1318032.8746912698,18.49182389937107
2010,Feminino,80+,80,NA,180,2796,64.37768240343347,0.06437768240343347,NA,1,63207.48089635707,63207.48089635707,981822.8699234131,981822.8699234131,15.533333333333333
2024,Masculino,<1,0,1,108,6644,16.25526791089705,0.01625526791089705,0.11389778619976736,0.019386268896589825,100000,1938.6268896589825,98282.17842134052,7182631.719699701,71.82631719699701
2024,Masculino,1-4,1,4,24,28738,0.8351311851903404,8.351311851903403e-4,1.6666666666666667,0.0033340279224838504,98061.37311034102,326.939356066984,391482.63394387445,7084349.54127836,72.244037754875
2024,Masculino,5-9,5,5,11,38150,0.2883355176933159,2.8833551769331587e-4,2.5,0.001440639119900465,97734.43375427404,140.80004862772765,488320.1686498009,6692866.907334486,68.48013182500071
2024,Masculino,10-14,10,5,10,36852,0.27135569304244006,2.7135569304244004e-4,2.5,0.00135585866529273,97593.63370564631,132.32317393720518,487637.36059338856,6204546.738684685,63.57532251948233
2024,Masculino,15-19,15,5,83,36626,2.2661497297002127,0.002266149729700213,2.5,0.01126691734426541,97461.31053170911,1098.0885300245504,484561.33133348415,5716909.378091297,58.65824445518098
2024,Masculino,20-24,20,5,148,36910,4.009753454348416,0.004009753454348416,2.5,0.019849785407725327,96363.22200168455,1912.7892779304343,477034.13681359665,5232348.046757813,54.29818490986472
2024,Masculino,25-29,25,5,114,35412,3.2192477126397834,0.0032192477126397833,2.5,0.01596772838053618,94450.43272375411,1508.1588551570117,468481.766480878,4755313.909944216,50.34719029665454
2024,Masculino,30-34,30,5,108,32185,3.3556004349852415,0.0033556004349852417,2.5,0.016638422431058387,92942.2738685971,1546.4128143288376,460845.3373071634,4286832.143463338,46.1235987138007
2024,Masculino,35-39,35,5,99,30084,3.29078579976067,0.00329078579976067,2.5,0.016319667672221948,91395.86105426826,1491.5500790222306,453250.4300737857,3825986.8061561747,41.86170754367545
2024,Masculino,40-44,40,5,98,27794,3.5259408505432828,0.003525940850543283,2.5,0.017475658903669887,89904.31097524603,1571.1370725728646,445593.712194798,3372736.376082389,37.51473471623655
2024,Masculino,45-49,45,5,113,23876,4.732786061316803,0.004732786061316803,2.5,0.023387213610116517,88333.17390267317,2065.866806921387,436501.2024960624,2927142.663887591,33.13752392858385
2024,Masculino,50-54,50,5,121,19624,6.165919282511211,0.00616591928251121,2.5,0.030361578802097708,86267.30709575178,2619.2116424324304,424788.5063726778,2490641.4613915286,28.871209096941662
2024,Masculino,55-59,55,5,144,15605,9.227811598846523,0.009227811598846523,2.5,0.045098653304102725,83648.09545331934,3772.4164563977406,408809.4361256024,2065852.9550188507,24.696951482556116
2024,Masculino,60-64,60,5,169,11877,14.229182453481519,0.01422918245348152,2.5,0.06870197975527462,79875.6789969216,5487.617281385322,385659.35178114474,1657043.5188932484,20.74528241515306
2024,Masculino,65-69,65,5,204,8710,23.421354764638348,0.023421354764638348,2.5,0.1106290672451193,74388.06171553629,8229.481881762147,351366.60387327604,1271384.1671121037,17.09123934394125
2024,Masculino,70-74,70,5,194,5740,33.79790940766551,0.033797909407665506,2.5,0.15582329317269078,66158.57983377414,10309.047781327057,305020.27971555304,920017.5632388276,13.906247164772966
2024,Masculino,75-79,75,5,164,3412,48.06565064478312,0.04806565064478312,2.5,0.2145473574045003,55849.53205244709,11982.36951413046,249291.73647690928,614997.2835232746,11.011681941144
2024,Masculino,80+,80,NA,401,3343,119.95213879748728,0.11995213879748728,NA,1,43867.162538316625,43867.162538316625,365705.5470463653,365705.5470463653,8.336658354114713
2024,Feminino,<1,0,1,107,6360,16.82389937106918,0.016823899371069182,0.08607233910684371,0.01706286318013735,100000,1706.2863180137351,98440.5777365637,7971986.652765454,79.71986652765453
2024,Feminino,1-4,1,4,20,27469,0.7280934872037569,7.280934872037569e-4,1.35,0.002906765496693554,98293.71368198626,285.7167754726728,392417.7052729425,7873546.07502889,80.10223421309017
2024,Feminino,5-9,5,5,8,36413,0.219701754867767,2.19701754867767e-4,2.5,0.0010979057447918095,98007.9969065136,107.60354283919918,489770.97567546996,7481128.369755947,76.33181583021162
2024,Feminino,10-14,10,5,16,34834,0.45932135270138374,4.593213527013837e-4,2.5,0.0022939725870275854,97900.39336367439,224.5808186354864,488940.51477178326,6991357.394080477,71.41296529942848
2024,Feminino,15-19,15,5,20,34944,0.5723443223443224,5.723443223443224e-4,2.5,0.0028576327370406357,97675.8125450389,279.1215995457476,487681.2587263301,6502416.879308694,66.57141322792059
2024,Feminino,20-24,20,5,24,36308,0.661011347361463,6.61011347361463e-4,2.5,0.003299604047514298,97396.69094549316,321.3705156582484,486180.0284383202,6014735.620582364,61.755030506615824
2024,Feminino,25-29,25,5,23,35754,0.6432846674497957,6.432846674497958e-4,2.5,0.003211258953129581,97075.32042983492,311.7339918582303,484597.267169529,5528555.592144044,56.951195913280856
2024,Feminino,30-34,30,5,26,32591,0.7977662544874351,7.977662544874351e-4,2.5,0.003980891719745222,96763.58643797669,385.2053600237925,482854.91878982395,5043958.324974515,52.12661612338625
2024,Feminino,35-39,35,5,35,30982,1.1296882060551288,0.0011296882060551287,2.5,0.0056325335135744056,96378.38107795289,542.854461405615,480534.76923625043,4561103.406184691,47.32496390965079
2024,Feminino,40-44,40,5,63,29050,2.1686746987951806,0.002168674698795181,2.5,0.010784901138406232,95835.52661654727,1033.5766801065615,476593.69138246996,4080568.63694844,42.578872167890566
2024,Feminino,45-49,45,5,66,24852,2.655721873491067,0.002655721873491067,2.5,0.013191030099532318,94801.94993644071,1250.5353751059454,470883.41124443867,3603974.94556597,38.015831404124384
2024,Feminino,50-54,50,5,70,20116,3.4798170610459334,0.0034798170610459336,2.5,0.017249026662066926,93551.41456133476,1613.6708440425393,463722.8956965675,3133091.5343215317,33.49058428472393
2024,Feminino,55-59,55,5,100,15779,6.337537233031244,0.006337537233031244,2.5,0.031193461850396162,91937.74371729222,2867.8565012568542,452519.07733331894,2669368.6386249643,29.034524132256823
2024,Feminino,60-64,60,5,111,12138,9.144834404349975,0.009144834404349975,2.5,0.04470218678265071,89069.88721603536,3981.618735040846,435395.38924257475,2216849.5612916453,24.888878054990318
2024,Feminino,65-69,65,5,137,9078,15.09142983035911,0.01509142983035911,2.5,0.07271376253914336,85088.26848099452,6187.088149193912,409973.6220319878,1781454.1720490705,20.936542767314386
2024,Feminino,70-74,70,5,121,6130,19.73898858075041,0.01973898858075041,2.5,0.0940536338904003,78901.18033180061,7420.942728447628,375953.54483788396,1371480.5500170826,17.382256440900367
2024,Feminino,75-79,75,5,120,3965,30.264817150063053,0.03026481715006305,2.5,0.1406799531066823,71480.23760335299,10055.836474094207,332261.5968315294,995527.0051791987,13.927304085129407
2024,Feminino,80+,80,NA,416,4492,92.60908281389136,0.09260908281389137,NA,1,61424.40112925878,61424.40112925878,663265.4083476693,663265.4083476693,10.798076923076922
