Coorte,Nascidos vivos,Óbitos 0-4 anos,5q0 (‰),5p0
2000,14238,376,26.4,0.9735917966006462
2001,14609,385,26.4,0.973646382367034
2002,14196,366,25.8,0.974218089602705
2003,14764,348,23.6,0.9764291519913303
2004,13971,345,24.7,0.9753059909813184
2005,14205,323,22.7,0.9772615276311158
2006,14714,357,24.3,0.9757373929590866
2007,14425,372,25.8,0.97421143847487
2008,15105,390,25.8,0.974180734856008
2009,14298,369,25.8,0.9741921947125473
2010,15008,328,21.9,0.9781449893390192
2011,15114,330,21.8,0.9781659388646288
2012,14895,373,25,0.9749580396106076
2013,15710,363,23.1,0.9768936982813494
2014,16271,339,20.8,0.979165386270051
2015,15750,314,19.9,0.9800634920634921
2016,15521,341,22,0.9780297661233168
2017,15399,347,22.5,0.9774660692252743
2018,15864,370,23.3,0.9766767523953606
2019,15356,314,20.4,0.9795519666579838
